MovieId,MovieName,Year,Genres,Artists
1,The Shawshank Redemption,1994,Drama,Tim Robbins|Morgan Freeman|Bob Gunton|William Sadler
2,The Godfather,1972,Crime|Drama,Marlon Brando|Al Pacino|James Caan|Diane Keaton
3,The Dark Knight,2008,Action|Crime|Drama,Christian Bale|Heath Ledger|Aaron Eckhart|Michael Caine
4,The Godfather: Part II,1974,Crime|Drama,Al Pacino|Robert De Niro|Robert Duvall|Diane Keaton
5,12 Angry Men,1957,Crime|Drama,Henry Fonda|Lee J. Cobb|Martin Balsam|John Fiedler
6,The Lord of the Rings: The Return of the King,2003,Action|Adventure|Drama,Elijah Wood|Viggo Mortensen|Ian McKellen|Orlando Bloom
7,Pulp Fiction,1994,Crime|Drama,John Travolta|Uma Thurman|Samuel L. Jackson|Bruce Willis
8,Schindler's List,1993,Biography|Drama|History,Liam Neeson|Ralph Fiennes|Ben Kingsley|Caroline Goodall
9,Inception,2010,Action|Adventure|Sci-Fi,Leonardo DiCaprio|Joseph Gordon-Levitt|Elliot Page|Ken Watanabe
10,Fight Club,1999,Drama,Brad Pitt|Edward Norton|Meat Loaf|Zach Grenier
11,The Lord of the Rings: The Fellowship of the Ring,2001,Action|Adventure|Drama,Elijah Wood|Ian McKellen|Orlando Bloom|Sean Bean
12,Forrest Gump,1994,Drama|Romance,Tom Hanks|Robin Wright|Gary Sinise|Sally Field
13,"Il buono, il brutto, il cattivo",1966,Western,Clint Eastwood|Eli Wallach|Lee Van Cleef|Aldo Giuffrè
14,The Lord of the Rings: The Two Towers,2002,Action|Adventure|Drama,Elijah Wood|Ian McKellen|Viggo Mortensen|Orlando Bloom
15,The Matrix,1999,Action|Sci-Fi,Lilly Wachowski|Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss
16,Goodfellas,1990,Biography|Crime|Drama,Robert De Niro|Ray Liotta|Joe Pesci|Lorraine Bracco
17,Star Wars: Episode V - The Empire Strikes Back,1980,Action|Adventure|Fantasy,Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams
18,One Flew Over the Cuckoo's Nest,1975,Drama,Jack Nicholson|Louise Fletcher|Michael Berryman|Peter Brocco
19,Hamilton,2020,Biography|Drama|History,Lin-Manuel Miranda|Phillipa Soo|Leslie Odom Jr.|Renée Elise Goldsberry
20,Gisaengchung,2019,Comedy|Drama|Thriller,Kang-ho Song|Lee Sun-kyun|Cho Yeo-jeong|Choi Woo-sik
21,Soorarai Pottru,2020,Drama,Suriya|Madhavan|Paresh Rawal|Aparna Balamurali
22,Interstellar,2014,Adventure|Drama|Sci-Fi,Matthew McConaughey|Anne Hathaway|Jessica Chastain|Mackenzie Foy
23,Cidade de Deus,2002,Crime|Drama,Kátia Lund|Alexandre Rodrigues|Leandro Firmino|Matheus Nachtergaele
24,Sen to Chihiro no kamikakushi,2001,Animation|Adventure|Family,Daveigh Chase|Suzanne Pleshette|Miyu Irino|Rumi Hiiragi
25,Saving Private Ryan,1998,Drama|War,Tom Hanks|Matt Damon|Tom Sizemore|Edward Burns
26,The Green Mile,1999,Crime|Drama|Fantasy,Tom Hanks|Michael Clarke Duncan|David Morse|Bonnie Hunt
27,La vita è bella,1997,Comedy|Drama|Romance,Roberto Benigni|Nicoletta Braschi|Giorgio Cantarini|Giustino Durano
28,Se7en,1995,Crime|Drama|Mystery,Morgan Freeman|Brad Pitt|Kevin Spacey|Andrew Kevin Walker
29,The Silence of the Lambs,1991,Crime|Drama|Thriller,Jodie Foster|Anthony Hopkins|Lawrence A. Bonney|Kasi Lemmons
30,Star Wars,1977,Action|Adventure|Fantasy,Mark Hamill|Harrison Ford|Carrie Fisher|Alec Guinness
31,Seppuku,1962,Action|Drama|Mystery,Tatsuya Nakadai|Akira Ishihama|Shima Iwashita|Tetsurô Tanba
32,Shichinin no samurai,1954,Action|Adventure|Drama,Toshirô Mifune|Takashi Shimura|Keiko Tsushima|Yukiko Shimazaki
33,It's a Wonderful Life,1946,Drama|Family|Fantasy,James Stewart|Donna Reed|Lionel Barrymore|Thomas Mitchell
34,Joker,2019,Crime|Drama|Thriller,Joaquin Phoenix|Robert De Niro|Zazie Beetz|Frances Conroy
35,Whiplash,2014,Drama|Music,Miles Teller|J.K. Simmons|Melissa Benoist|Paul Reiser
36,The Intouchables,2011,Biography|Comedy|Drama,Éric Toledano|François Cluzet|Omar Sy|Anne Le Ny
37,The Prestige,2006,Drama|Mystery|Sci-Fi,Christian Bale|Hugh Jackman|Scarlett Johansson|Michael Caine
38,The Departed,2006,Crime|Drama|Thriller,Leonardo DiCaprio|Matt Damon|Jack Nicholson|Mark Wahlberg
39,The Pianist,2002,Biography|Drama|Music,Adrien Brody|Thomas Kretschmann|Frank Finlay|Emilia Fox
40,Gladiator,2000,Action|Adventure|Drama,Russell Crowe|Joaquin Phoenix|Connie Nielsen|Oliver Reed
41,American History X,1998,Drama,Edward Norton|Edward Furlong|Beverly D'Angelo|Jennifer Lien
42,The Usual Suspects,1995,Crime|Mystery|Thriller,Kevin Spacey|Gabriel Byrne|Chazz Palminteri|Stephen Baldwin
43,Léon,1994,Action|Crime|Drama,Jean Reno|Gary Oldman|Natalie Portman|Danny Aiello
44,The Lion King,1994,Animation|Adventure|Drama,Rob Minkoff|Matthew Broderick|Jeremy Irons|James Earl Jones
45,Terminator 2: Judgment Day,1991,Action|Sci-Fi,Arnold Schwarzenegger|Linda Hamilton|Edward Furlong|Robert Patrick
46,Nuovo Cinema Paradiso,1988,Drama|Romance,Philippe Noiret|Enzo Cannavale|Antonella Attili|Isa Danieli
47,Hotaru no haka,1988,Animation|Drama|War,Tsutomu Tatsumi|Ayano Shiraishi|Akemi Yamaguchi|Yoshiko Shinohara
48,Back to the Future,1985,Adventure|Comedy|Sci-Fi,Michael J. Fox|Christopher Lloyd|Lea Thompson|Crispin Glover
49,Once Upon a Time in the West,1968,Western,Henry Fonda|Charles Bronson|Claudia Cardinale|Jason Robards
50,Psycho,1960,Horror|Mystery|Thriller,Anthony Perkins|Janet Leigh|Vera Miles|John Gavin
51,Casablanca,1942,Drama|Romance|War,Humphrey Bogart|Ingrid Bergman|Paul Henreid|Claude Rains
52,Modern Times,1936,Comedy|Drama|Family,Charles Chaplin|Paulette Goddard|Henry Bergman|Tiny Sandford
53,City Lights,1931,Comedy|Drama|Romance,Charles Chaplin|Virginia Cherrill|Florence Lee|Harry Myers
54,Capharnaüm,2018,Drama,Zain Al Rafeea|Yordanos Shiferaw|Boluwatife Treasure Bankole|Kawsar Al Haddad
55,Ayla: The Daughter of War,2017,Biography|Drama|History,Erdem Can|Çetin Tekindor|Ismail Hacioglu|Kyung-jin Lee
56,Vikram Vedha,2017,Action|Crime|Drama,Pushkar|Madhavan|Vijay Sethupathi|Shraddha Srinath
57,Kimi no na wa.,2016,Animation|Drama|Fantasy,Ryûnosuke Kamiki|Mone Kamishiraishi|Ryô Narita|Aoi Yûki
58,Dangal,2016,Action|Biography|Drama,Aamir Khan|Sakshi Tanwar|Fatima Sana Shaikh|Sanya Malhotra
59,Spider-Man: Into the Spider-Verse,2018,Animation|Action|Adventure,Peter Ramsey|Rodney Rothman|Shameik Moore|Jake Johnson
60,Avengers: Endgame,2019,Action|Adventure|Drama,Chris Hemsworth|Robert Downey Jr.|Chris Evans|Mark Ruffalo
61,Avengers: Infinity War,2018,Action|Adventure|Sci-Fi,Chris Evans|Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo
62,Coco,2017,Animation|Adventure|Family,Adrian Molina|Anthony Gonzalez|Gael García Bernal|Benjamin Bratt
63,Django Unchained,2012,Drama|Western,Jamie Foxx|Christoph Waltz|Leonardo DiCaprio|Kerry Washington
64,The Dark Knight Rises,2012,Action|Adventure,Christian Bale|Tom Hardy|Anne Hathaway|Gary Oldman
65,3 Idiots,2009,Comedy|Drama,Aamir Khan|Madhavan|Mona Singh|Sharman Joshi
66,Taare Zameen Par,2007,Drama|Family,Amole Gupte|Darsheel Safary|Aamir Khan|Tisca Chopra
67,WALL·E,2008,Animation|Adventure|Family,Ben Burtt|Elissa Knight|Jeff Garlin|Fred Willard
68,The Lives of Others,2006,Drama|Mystery|Thriller,Ulrich Mühe|Martina Gedeck|Sebastian Koch|Ulrich Tukur
69,Oldeuboi,2003,Action|Drama|Mystery,Choi Min-sik|Yoo Ji-Tae|Kang Hye-jeong|Kim Byeong-Ok
70,Memento,2000,Mystery|Thriller,Guy Pearce|Carrie-Anne Moss|Joe Pantoliano|Mark Boone Junior
71,Mononoke-hime,1997,Animation|Action|Adventure,Yôji Matsuda|Yuriko Ishida|Yûko Tanaka|Billy Crudup
72,Once Upon a Time in America,1984,Crime|Drama,Robert De Niro|James Woods|Elizabeth McGovern|Treat Williams
73,Raiders of the Lost Ark,1981,Action|Adventure,Harrison Ford|Karen Allen|Paul Freeman|John Rhys-Davies
74,The Shining,1980,Drama|Horror,Jack Nicholson|Shelley Duvall|Danny Lloyd|Scatman Crothers
75,Apocalypse Now,1979,Drama|Mystery|War,Martin Sheen|Marlon Brando|Robert Duvall|Frederic Forrest
76,Alien,1979,Horror|Sci-Fi,Sigourney Weaver|Tom Skerritt|John Hurt|Veronica Cartwright
77,Anand,1971,Drama|Musical,Rajesh Khanna|Amitabh Bachchan|Sumita Sanyal|Ramesh Deo
78,Tengoku to jigoku,1963,Crime|Drama|Mystery,Toshirô Mifune|Yutaka Sada|Tatsuya Nakadai|Kyôko Kagawa
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,Peter Sellers|George C. Scott|Sterling Hayden|Keenan Wynn
80,Witness for the Prosecution,1957,Crime|Drama|Mystery,Tyrone Power|Marlene Dietrich|Charles Laughton|Elsa Lanchester
81,Paths of Glory,1957,Drama|War,Kirk Douglas|Ralph Meeker|Adolphe Menjou|George Macready
82,Rear Window,1954,Mystery|Thriller,James Stewart|Grace Kelly|Wendell Corey|Thelma Ritter
83,Sunset Blvd.,1950,Drama|Film-Noir,William Holden|Gloria Swanson|Erich von Stroheim|Nancy Olson
84,The Great Dictator,1940,Comedy|Drama|War,Charles Chaplin|Paulette Goddard|Jack Oakie|Reginald Gardiner
85,1917,2019,Drama|Thriller|War,Dean-Charles Chapman|George MacKay|Daniel Mays|Colin Firth
86,Tumbbad,2018,Drama|Fantasy|Horror,Anand Gandhi|Adesh Prasad|Sohum Shah|Jyoti Malshe
87,Andhadhun,2018,Crime|Drama|Music,Ayushmann Khurrana|Tabu|Radhika Apte|Anil Dhawan
88,Drishyam,2013,Crime|Drama|Thriller,Mohanlal|Meena|Asha Sharath|Ansiba
89,Jagten,2012,Drama,Mads Mikkelsen|Thomas Bo Larsen|Annika Wedderkopp|Lasse Fogelstrøm
90,Jodaeiye Nader az Simin,2011,Drama,Payman Maadi|Leila Hatami|Sareh Bayat|Shahab Hosseini
91,Incendies,2010,Drama|Mystery|War,Lubna Azabal|Mélissa Désormeaux-Poulin|Maxim Gaudette|Mustafa Kamel
92,Miracle in cell NO.7,2019,Drama,Aras Bulut Iynemli|Nisa Sofiya Aksongur|Deniz Baysal|Celile Toyon Uysal
93,Babam ve Oglum,2005,Drama|Family,Çetin Tekindor|Fikret Kuskan|Hümeyra|Ege Tanman
94,Inglourious Basterds,2009,Adventure|Drama|War,Brad Pitt|Diane Kruger|Eli Roth|Mélanie Laurent
95,Eternal Sunshine of the Spotless Mind,2004,Drama|Romance|Sci-Fi,Jim Carrey|Kate Winslet|Tom Wilkinson|Gerry Robert Byrne
96,Amélie,2001,Comedy|Romance,Audrey Tautou|Mathieu Kassovitz|Rufus|Lorella Cravotta
97,Snatch,2000,Comedy|Crime,Jason Statham|Brad Pitt|Benicio Del Toro|Dennis Farina
98,Requiem for a Dream,2000,Drama,Ellen Burstyn|Jared Leto|Jennifer Connelly|Marlon Wayans
99,American Beauty,1999,Drama,Kevin Spacey|Annette Bening|Thora Birch|Wes Bentley
100,Good Will Hunting,1997,Drama|Romance,Robin Williams|Matt Damon|Ben Affleck|Stellan Skarsgård
101,Bacheha-Ye aseman,1997,Drama|Family|Sport,Mohammad Amir Naji|Amir Farrokh Hashemian|Bahare Seddiqi|Nafise Jafar-Mohammadi
102,Toy Story,1995,Animation|Adventure|Comedy,Tom Hanks|Tim Allen|Don Rickles|Jim Varney
